,title,view_count,likes,dislikes,comment_count,trending_days,category,video_id,channelTitle,tags,response_rate
0,KGF Chapter2 TEASER |Yash|Sanjay Dutt|Raveena Tandon|Srinidhi Shetty|Prashanth Neel|Vijay Kiragandur,1495945829,75880519,609054,6523778,15,Entertainment,Qah9sSIXJqk,Hombale Films,Hombale films|hombale|hombale films kannada|hombale films kgf 2|kgf 2|yash|prashanth neel|srinidhi shetty|kgf 2 teaser|kgf 2 update|kgf chapter 2|Sanjay Dutt|Raveena Tandon|Prakash Raj|Rocking Star Yash|kgf chapter 2 teaser|kgf|kgf2|kgf 2 kannada|yash kgf|kgf teaser|sanjay dutt adheera|prashant neel|rocky bhai|kgf updates|adheera sanjay dutt|yash birthday|yash movies|kgf chapter 2 trailer|kgf 2 trailer|kgf trailer|yash birthday celebration,5.55%
1,Filhaal2 Mohabbat | Akshay Kumar Ft Nupur Sanon | Ammy Virk | BPraak | Jaani | Arvindr Khaira,1366495429,32956354,823894,2988894,10,Music,DUwlGduupRI,DM - Desi Melodies,filhall 2|Filhaal 2|Filhaal|mohabbat|Mohabbat karte ho|akshay kumar|nupur sanon|Bpraak|Bpraak filhaal 2|jaani|b praak new song|akshay kumar filhaal|arvindr khaira|ammy virk new song|latest hindi songs|latest punjabi songs|new romantic songs|latest sad song|Filhaal2 mohabbat|Akshay kumar song|Jaani new song|Ik baat batao toh|latest punjabi songs 2021|new punjabi songs 2021|new songs 2021|latest songs 2021,2.69%
2,Paytm IPL 2021 Ad - The Salon (English),1327627464,16690,16642,5682,10,People & Blogs,QyEiXDIcWrA,Paytm,[None],0.00%
3,BTS (방탄소년단) 'Permission to Dance' Official MV,1080130335,94008261,614627,23039574,9,Music,CuklIb9d3fI,HYBE LABELS,HYBE|HYBE LABELS|하이브|하이브레이블즈,10.89%
4,Turn into egg - Tutorial #Shorts,961205962,31703110,1017264,20338,13,Entertainment,ggJoXFNkRUw,Fortnite Fun TV,[None],3.41%
5,LISA - 'LALISA' M/V,954306098,74742197,622654,17260520,8,Music,awkkyBH2zEo,BLACKPINK,YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|LISA|JISOO|JENNIE|ROSÉ|BLINK|블링크|LISA SOLO|LALISA|LISA TEASER|LALISA MV|LISA MV|LISA SOLO MV|LISA LALISA MV,9.71%
6,She is foxy but not enough #Shorts,876755282,30084547,898652,17830,9,Entertainment,PRz64kSEJqs,Fortnite Fun TV,[None],3.54%
7,When the cheating went wrong #Shorts,825267526,24506725,657153,22028,7,Entertainment,uTQnMukAhsg,Fortnite Fun TV,[None],3.05%
8,Badshah - Paani Paani | Jacqueline Fernandez | Aastha Gill | Official Music Video,757873239,13952000,1503302,1069184,16,Music,nFjVlf2r9_Q,Saregama Music,paani paani|paani paani badshah|badshah new song 2021|Badshah|Badshah new song|jacqueline fernandez songs|badshah jacqueline pani pani|pani pani song|badshah songs|badshah jacqueline new song|jacqueline fernandez|jacqueline fernandez new song|new hindi song|new hindi songs 2021|bollywood songs 2021|aastha gill|astha gill new song|saregama music|genda phool|badshah fly,2.18%
9,Guru Randhawa: Nain Bengali (Official Video) David Zennie | Vee | Bhushan Kumar,750886955,5794966,407081,827307,7,Music,DTSW39pyMqA,T-Series,nain bengali guru song|nain bengali song|2021 hindi songs|2021 new songs|t-series|2021 songs|hindi 2021 songs|hindi movie songs|Nain bengali|Guru randhawa|Nain bengali song|Nain bengali video|Nain bengali film song|Nain bengali tseries|Nain bengali lyrics|Nain bengali lyrical|Nain bengali hindi song|Nain bengali new song|Nain bengali audio|Guru randhawa song|Guru randhawa video|Guru randhawa new song|Guru randhawa hit songs 2021,0.94%
10,"Bachpan Ka Pyaar (Official Video) Badshah, Sahdev Dirdo, Aastha Gill, Rico",682669183,39577078,1307765,1640773,11,Music,k7QniTYNsmQ,Badshah,badshah|badshah news songs|badshah new song|badshah song|badshah songs|bachpan ka pyar|bachpan ka pyar badshah|aastha gill|aastha gill songs|rico|sahdev dirdo|bachpan ka pyar song|new song|new songs|new song 2021|jane meri janeman|sahdev song|sahdev viral video|badshah all song|sahdev bachpan ka pyar|new songs 2021|latest song|new hindi songs|hindi song|hindi songs|viral video|jane meri janeman song|bachpan ka pyaar|badshah bachpan ka pyar,6.23%
11,Don’t be Oversmart 😎 ~ You Can’t Change your Destiny 😂 ~ @Priyal Kukreja  Dushyant Kukreja #shorts,679024854,28123126,782286,133883,11,Entertainment,dvA6CwbNWig,Dushyant kukreja,Dushyant kukreja|priyal kukreja|destiny|oversmart|smart|dont be oversmart|change|dushyant kukreja shorts|shorts,4.28%
12,BTS (방탄소년단) 'Butter' Official MV,631898950,50695472,240182,21721294,4,Music,WMweEpGlu_U,HYBE LABELS,BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄,11.50%
13,Aise kon Chori karta hai🙄 #imkavy #Shorts,615530918,6130076,736797,51022,15,People & Blogs,qab44LD_PsY,imkavy,[None],1.12%
14,"Bedardi Se Pyaar Ka Song|Jubin N,Meet B,Manoj M|Gurmeet C,Sherine S,Kaashish V,Altamash F| Bhushan K",571463247,23038845,586600,1246759,19,Music,y_RHQ4mBDKA,T-Series,Bedardi Se Pyaar Ka|Bedardi Se Pyaar Ka song|Bedardi Se Pyaar Ka Jubin Nautiyal|Bedardi Se Pyaar Ka Song Jubin Nautiyal|Jubin Nautiyal New Song|Bedardi Song Jubin Nautiyal|Bedardi Se Pyaar Ka New Song Jubin Nautiyal|Jubin Nautiyal New Songs|Jubin Nautiyal All Songs|Bedardi Se Pyaar Ka sherine Singh|Jubin Nautiyal|Gurmeet Choudhary|Kaashish Vohra|Bedardi Se Pyar Ka|bedardi se pyaar ka song|bedardi se pyaar ka jubin nautiyal|bedardi se pyaar ka new song,4.35%
15,JELLY FRUIT 🍎 CHALLENGE @BrianaSprinz #Shorts,550519248,12606062,642974,32993,11,Entertainment,4-r1bM5YTQI,Austin Sprinz,[None],2.41%
16,Why Children are considered as Gifts of Gods 🕉 ? A Motivational Story 😊 ~ Dushyant Kukreja #shorts,528262917,26437119,552804,92345,11,Entertainment,2jZqL4eHr3g,Dushyant kukreja,God|gods|children|motivational|motivate|motivational story|child|Dushyant Kukreja|dushyant kukreja shorts|shorts|priyal kukreja,5.13%
17,"$456,000 Squid Game In Real Life!",522153618,48577399,220742,2543446,6,Entertainment,0e3GPea1Tyg,MrBeast,[None],9.83%
18,Let's just have fun with your loved ones!😎 #PermissiontoDance Challenge only on YouTube #Shorts,517539612,42016808,918853,472623,9,Music,JQxQqdn9dEM,BANGTANTV,[None],8.39%
19,TWICE Alcohol-Free M/V,511279379,23540824,446199,7716275,10,Music,XA2YEHn-A8Q,JYP Entertainment,TWICE|트와이스|taste of love|alcoholfree|alcoholfree mv|taste of love mv teaser|트와이스 알콜프리|알콜프리|알콜프리 뮤비|알콜프리뮤비|twice alcoholfree mv|twice alcohol free mv|twice alcohol free m/v|nayeon|jeongyeon|momo|sana|jihyo|mina|dahyun|chaeyoung|tzuyu|나연|정연|모모|사나|지효|미나|다현|채영|쯔위|테이스트오브러브|테오럽|테오럽뮤비|테오럽 트와이스 뮤비|트와이스 테오럽|알코올프리|알콜프리뮤비트와이스|jyp entertainment|jyp,6.20%
20,isko mere chupaye hue pese hmesha mil jate h 😂😂 #shorts,507034012,9732113,583366,42541,8,Entertainment,XNeEdFRB4lU,Suyash Vlogs,[None],2.04%
21,Crazy STATIC TRICK! 😨 #shorts,495982721,17098232,590159,135980,8,Entertainment,i0Ye1lBEgnM,Dan Rhodes,[None],3.59%
22,"Chhor Denge: Parampara Tandon | Sachet-Parampara | Nora Fatehi, Ehan Bhat | Arvindr K, Bhushan Kumar",484914950,16023486,688298,851913,10,Music,hGf8rOwFzvo,T-Series,hindi songs|2020 hindi songs|new hindi songs|2020 new songs|t-series|tseries|tseries songs|new song|hit songs 2020|2020 film songs|bollywood songs|2020 songs|hindi 2020 songs|film songs|hindi movie songs|chhor denge full song|chhor denge|nora fatehi new song|nora fatehi songs|sanchet and parampara|sachet parampara songs|parampara thakur songs|parampara tandon|arvindr khaira|chhor denge nora fatehi|chhor denge song,3.62%
23,ROSÉ - 'On The Ground' M/V,483786259,42210749,408360,9119816,7,Music,CKZvWhCqx1s,BLACKPINK,YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|Lisa|Jisoo|Jennie|Rosé|BLINK|블링크|ROSÉ On The Ground|로제 On The Ground|On The Ground|로제 R|ROSÉ R|ROSE R|ROSE On The Ground,10.69%
24,Turn into orbeez - Tutorial #Shorts,483433094,17812545,569762,6501,8,Entertainment,hdmx71UjBXs,Fortnite Fun TV,[None],3.80%
