,title,view_count,likes,dislikes,comment_count,trending_days,category,video_id,channelTitle,tags,response_rate
0,Turn into orbeez - Tutorial #Shorts,5640301234,189617847,6167736,74974,36,Entertainment,hdmx71UjBXs,Fortnite Fun TV,[None],3.47%
1,Adele - Easy On Me (Official Video),1760774068,70482598,790723,3821932,18,Music,U3ASj1L6_sY,AdeleVEVO,There ain’t no gold|In this river|That I’ve been washing my hands in forever|I know there is hope|In these waters|But I can’t bring myself to swim|When I am drowning|In this silence baby let me in|Go easy on me baby|I was still a child|Didn’t get the chance to|Feel the world around me|I had no time to choose|What I chose to do|So go easy on me|There ain’t no room|For things to change|When we are both so deeply|Stuck|our,4.26%
2,SPIDER-MAN: NO WAY HOME - Official Teaser Trailer (HD),1471277143,63080849,430664,3818828,24,Entertainment,rt-2cxAiPJk,Sony Pictures Entertainment,spiderman|spiderman no way home|spider-man|spider-man no way home|no way home teaser|no way home trailer|spiderman no way home preview|no way home clips|no way home scene|no way home sneak peak|official teaser trailer|spiderman official teaser trailer|no way home teaser trailer|tom holland|tom holland no way home|zendaya|zendaya no way home|Benedict Cumberbatch|sony pictures|sony|sony no way home|spider-man teaser|spider-man clips,4.58%
3,My hidden talent #shorts,1452140141,47131264,944115,82208,20,Comedy,O2W2gUXAt78,Zach King Shorts,shorts|#shorts|zach king|magic|tiktok|dance|fergie|trend|behind the scenes,3.32%
4,"India claim stunning series win, end Australia's Gabba streak | Vodafone Test Series 2020-21",1201206446,26718566,831123,1737039,34,Sports,wY6UyatwVTA,cricket.com.au,Australia|India|day five|fourth Test|Gabba|highlights|Rishabh Pant|Cheteshwar Pujara|Shubman Gill,2.44%
5,Dice Stacks from $1 to $100,1101102782,76139711,1235502,236629,21,Sports,MbWq-EwUy_M,That's Amazing Shorts,[None],7.05%
6,BTS (방탄소년단) 'Permission to Dance' Official MV,917656607,81782009,506752,20236865,8,Music,CuklIb9d3fI,HYBE LABELS,HYBE|HYBE LABELS|하이브|하이브레이블즈,11.17%
7,Turn into egg - Tutorial #Shorts,902262348,30164884,940299,19219,13,Entertainment,ggJoXFNkRUw,Fortnite Fun TV,[None],3.45%
8,Israeli Iron Dome filmed intercepting rockets from Gaza,789779224,6006436,1113732,0,34,News & Politics,mcUpeaSX8BE,The Telegraph,Telegraph|News|Israel|Iron Dome|Hamas|Gaza|Palestine,0.90%
9,LISA - 'LALISA' M/V,753794302,59808328,490595,13596010,6,Music,awkkyBH2zEo,BLACKPINK,YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|LISA|JISOO|JENNIE|ROSÉ|BLINK|블링크|LISA SOLO|LALISA|LISA TEASER|LALISA MV|LISA MV|LISA SOLO MV|LISA LALISA MV,9.80%
